,Sex,Length,Diameter,Height,Whole Weight,Shucked Weight,Viscera Weight,Shell Weight,Target Value
718,I,0.15,0.1,0.025,0.015,0.0045,0.004,0.005,2
719,I,0.16,0.11,0.025,0.018,0.0065,0.0055,0.005,3
148,I,0.17,0.13,0.095,0.03,0.013,0.008,0.01,4
693,I,0.165,0.11,0.02,0.019,0.0065,0.0025,0.005,4
2625,I,0.22,0.16,0.05,0.049,0.0215,0.01,0.015,4
895,I,0.255,0.18,0.055,0.083,0.031,0.0215,0.02,4
2864,I,0.315,0.235,0.075,0.1285,0.051,0.028,0.0405,4
43,I,0.21,0.15,0.05,0.042,0.0175,0.0125,0.015,4
173,I,0.235,0.16,0.04,0.048,0.0185,0.018,0.015,5
147,I,0.175,0.13,0.055,0.0315,0.0105,0.0065,0.0125,5
1066,I,0.34,0.265,0.08,0.2015,0.09,0.0475,0.055,5
1763,I,0.275,0.175,0.09,0.2315,0.096,0.057,0.0705,5
2455,I,0.25,0.18,0.06,0.073,0.028,0.017,0.0225,5
3601,I,0.395,0.3,0.09,0.2855,0.1385,0.0625,0.077,5
1217,I,0.315,0.23,0.07,0.1145,0.046,0.0235,0.0385,5
1991,I,0.29,0.21,0.07,0.1115,0.048,0.0205,0.03,5
1220,I,0.33,0.205,0.095,0.1595,0.077,0.032,0.0435,5
3631,I,0.3,0.225,0.075,0.1345,0.057,0.028,0.044,5
331,I,0.3,0.22,0.08,0.121,0.0475,0.042,0.035,5
943,F,0.465,0.35,0.125,0.482,0.23,0.106,0.1095,6
346,I,0.34,0.26,0.08,0.2,0.08,0.0555,0.055,6
3437,I,0.43,0.335,0.105,0.378,0.188,0.0785,0.09,6
318,I,0.33,0.255,0.095,0.172,0.066,0.0255,0.06,6
1232,I,0.37,0.28,0.085,0.217,0.1095,0.035,0.062,6
1071,I,0.4,0.32,0.095,0.348,0.194,0.053,0.087,6
3965,I,0.295,0.22,0.065,0.1295,0.052,0.028,0.035,6
423,I,0.26,0.2,0.07,0.092,0.037,0.02,0.03,6
3932,I,0.235,0.18,0.06,0.058,0.022,0.0145,0.018,6
3995,I,0.315,0.23,0.0,0.134,0.0575,0.0285,0.3505,6
2716,I,0.345,0.255,0.095,0.183,0.075,0.0385,0.06,6
3747,I,0.4,0.315,0.1,0.3225,0.143,0.0735,0.091,6
1992,I,0.29,0.21,0.06,0.1195,0.056,0.0235,0.03,6
650,I,0.335,0.245,0.09,0.1665,0.0595,0.04,0.06,6
2446,I,0.275,0.205,0.08,0.096,0.036,0.0185,0.03,6
4153,I,0.435,0.33,0.095,0.393,0.219,0.075,0.0885,6
815,I,0.335,0.25,0.08,0.183,0.0735,0.04,0.0575,6
125,I,0.375,0.275,0.09,0.238,0.1075,0.0545,0.07,6
68,I,0.31,0.235,0.07,0.151,0.063,0.0405,0.045,6
2580,F,0.53,0.42,0.17,0.828,0.41,0.208,0.1505,6
263,M,0.27,0.2,0.08,0.1205,0.0465,0.028,0.04,6
2287,I,0.33,0.265,0.09,0.18,0.068,0.036,0.06,6
927,I,0.435,0.34,0.115,0.3925,0.1825,0.078,0.1145,6
636,M,0.355,0.26,0.085,0.1905,0.081,0.0485,0.055,6
645,M,0.33,0.215,0.075,0.1145,0.045,0.0265,0.035,6
2555,I,0.38,0.285,0.085,0.237,0.115,0.0405,0.07,6
802,I,0.37,0.275,0.1,0.22,0.094,0.045,0.065,7
1088,I,0.45,0.33,0.105,0.3715,0.1865,0.0785,0.0975,7
908,I,0.335,0.25,0.075,0.186,0.0945,0.038,0.0445,7
925,I,0.43,0.325,0.09,0.425,0.217,0.087,0.095,7
965,I,0.51,0.375,0.1,0.5785,0.238,0.1225,0.175,7
1075,I,0.42,0.3,0.105,0.316,0.1255,0.07,0.1035,7
934,I,0.45,0.345,0.11,0.47,0.2355,0.0855,0.1135,7
0,M,0.35,0.265,0.09,0.2255,0.0995,0.0485,0.07,7
1883,M,0.555,0.4,0.13,0.7075,0.332,0.1585,0.18,7
3656,M,0.535,0.405,0.14,0.7315,0.336,0.156,0.19,7
2558,I,0.415,0.325,0.1,0.3335,0.1445,0.0715,0.095,7
1754,F,0.72,0.525,0.18,1.445,0.631,0.3215,0.435,7
2565,F,0.455,0.35,0.12,0.4555,0.1945,0.1045,0.1375,7
2169,M,0.285,0.21,0.075,0.1185,0.055,0.0285,0.04,7
2228,M,0.37,0.28,0.095,0.2225,0.0805,0.051,0.075,7
2009,I,0.435,0.325,0.12,0.346,0.159,0.084,0.095,7
3529,I,0.36,0.265,0.09,0.2055,0.096,0.037,0.0585,7
2061,M,0.505,0.385,0.13,0.6435,0.3135,0.149,0.1515,7
1287,I,0.505,0.38,0.12,0.594,0.2595,0.1435,0.18,7
2655,M,0.545,0.42,0.12,0.7865,0.403,0.185,0.17,7
1102,F,0.505,0.39,0.125,0.5445,0.246,0.15,0.1405,7
2726,I,0.405,0.305,0.1,0.271,0.0965,0.061,0.091,7
1238,I,0.375,0.27,0.085,0.218,0.0945,0.039,0.07,7
1563,I,0.46,0.35,0.11,0.4,0.176,0.083,0.1205,7
2588,M,0.575,0.45,0.155,0.948,0.429,0.206,0.259,7
2637,I,0.46,0.345,0.11,0.3755,0.1525,0.058,0.125,7
2640,I,0.475,0.365,0.1,0.1315,0.2025,0.0875,0.123,7
1542,I,0.365,0.27,0.085,0.2225,0.0935,0.0525,0.066,7
3999,I,0.455,0.35,0.135,0.5365,0.2855,0.0855,0.1325,7
435,I,0.36,0.275,0.095,0.217,0.084,0.0435,0.09,7
3316,M,0.265,0.2,0.065,0.084,0.034,0.0105,0.03,7
4163,I,0.39,0.29,0.1,0.2845,0.1255,0.0635,0.081,7
97,M,0.47,0.37,0.13,0.5225,0.201,0.133,0.165,7
536,M,0.29,0.23,0.075,0.1165,0.043,0.0255,0.04,7
3884,I,0.41,0.33,0.105,0.335,0.1525,0.074,0.11,7
4067,I,0.41,0.305,0.1,0.2645,0.1,0.0655,0.085,7
694,I,0.315,0.23,0.09,0.1285,0.043,0.04,0.04,7
3,I,0.33,0.255,0.08,0.205,0.0895,0.0395,0.055,7
4107,I,0.48,0.35,0.1,0.519,0.2365,0.1275,0.126,7
2724,I,0.395,0.32,0.1,0.3075,0.149,0.0535,0.09,8
3499,M,0.6,0.41,0.145,0.939,0.4475,0.196,0.268,8
2720,I,0.375,0.29,0.14,0.3,0.14,0.0625,0.0825,8
3025,I,0.495,0.375,0.115,0.507,0.241,0.103,0.15,8
3010,I,0.375,0.285,0.09,0.237,0.106,0.0395,0.08,8
3019,I,0.45,0.34,0.125,0.4045,0.171,0.07,0.1345,8
1450,I,0.46,0.355,0.11,0.436,0.1975,0.096,0.125,8
4059,I,0.545,0.405,0.13,0.658,0.327,0.1445,0.174,8
1560,I,0.45,0.34,0.095,0.3245,0.1385,0.064,0.105,8
2734,I,0.42,0.315,0.11,0.4025,0.1855,0.083,0.1015,8
2741,I,0.46,0.345,0.105,0.415,0.187,0.087,0.11,8
4058,M,0.515,0.39,0.12,0.6125,0.302,0.1365,0.1415,8
4031,I,0.485,0.365,0.09,0.651,0.3165,0.132,0.18,8
1882,M,0.555,0.41,0.125,0.599,0.2345,0.1465,0.194,8
1345,M,0.585,0.45,0.18,0.7995,0.336,0.1855,0.237,8
330,F,0.4,0.325,0.12,0.3185,0.134,0.0565,0.095,8
2484,I,0.355,0.26,0.09,0.1925,0.077,0.038,0.065,8
2668,M,0.59,0.47,0.15,0.861,0.413,0.164,0.249,8
2452,I,0.325,0.2,0.08,0.0995,0.0395,0.0225,0.032,8
1861,I,0.52,0.41,0.11,0.5185,0.2165,0.0915,0.184,8
3450,M,0.55,0.44,0.155,0.9155,0.3645,0.195,0.25,8
3486,I,0.51,0.405,0.13,0.599,0.3065,0.1155,0.1485,8
3490,M,0.55,0.44,0.16,0.985,0.4645,0.201,0.27,8
3487,I,0.52,0.38,0.13,0.5345,0.2375,0.122,0.1535,8
2649,I,0.51,0.395,0.155,0.5395,0.2465,0.1085,0.167,8
4122,I,0.49,0.375,0.115,0.557,0.2275,0.1335,0.1765,8
3452,F,0.555,0.42,0.11,0.931,0.4445,0.171,0.225,8
3919,M,0.295,0.23,0.085,0.125,0.042,0.0285,0.043,8
4071,I,0.5,0.36,0.12,0.439,0.1875,0.1055,0.1305,8
2579,M,0.525,0.425,0.125,0.812,0.4035,0.1705,0.195,8
842,M,0.505,0.44,0.14,0.8275,0.3415,0.1855,0.239,8
3551,I,0.525,0.39,0.105,0.567,0.2875,0.1075,0.16,8
1616,I,0.555,0.435,0.14,0.765,0.3945,0.15,0.206,8
878,F,0.64,0.51,0.165,1.486,0.7595,0.332,0.321,8
3446,F,0.505,0.39,0.12,0.5725,0.2555,0.1325,0.146,8
1662,M,0.605,0.475,0.145,0.884,0.3835,0.1905,0.27,8
1653,I,0.595,0.46,0.15,0.8335,0.377,0.1925,0.235,8
2871,I,0.4,0.315,0.09,0.3245,0.151,0.073,0.088,8
3562,I,0.575,0.455,0.155,0.8725,0.349,0.2095,0.285,8
3749,I,0.435,0.375,0.11,0.4155,0.17,0.076,0.145,8
2887,I,0.51,0.4,0.125,0.5935,0.239,0.13,0.204,8
4170,M,0.56,0.43,0.155,0.8675,0.4,0.172,0.229,8
2880,I,0.495,0.375,0.12,0.614,0.2855,0.1365,0.161,8
1590,M,0.525,0.415,0.145,0.845,0.3525,0.1635,0.2875,8
2595,F,0.6,0.46,0.145,0.9325,0.3985,0.2245,0.248,8
3646,I,0.485,0.365,0.125,0.426,0.163,0.0965,0.151,8
1008,F,0.615,0.48,0.16,1.2525,0.585,0.2595,0.33,8
2050,F,0.455,0.355,1.13,0.594,0.332,0.116,0.1335,8
3417,F,0.58,0.48,0.18,1.2495,0.4945,0.27,0.371,8
2755,I,0.525,0.4,0.13,0.6445,0.345,0.1285,0.2,8
961,I,0.505,0.39,0.15,0.685,0.362,0.131,0.156,8
968,M,0.51,0.41,0.145,0.796,0.3865,0.1815,0.1955,8
2124,M,0.47,0.375,0.115,0.4265,0.1685,0.0755,0.15,8
954,M,0.495,0.395,0.135,0.6335,0.3035,0.1295,0.1495,8
2097,M,0.47,0.35,0.1,0.4775,0.1885,0.0885,0.175,8
1570,I,0.475,0.36,0.125,0.4905,0.205,0.1305,0.125,8
2528,F,0.6,0.5,0.155,1.332,0.6235,0.2835,0.35,8
246,I,0.36,0.275,0.085,0.1975,0.0745,0.0415,0.07,9
2525,M,0.59,0.48,0.16,1.262,0.5685,0.2725,0.335,9
3688,F,0.63,0.505,0.195,1.306,0.516,0.3305,0.375,9
3132,F,0.485,0.39,0.1,0.5565,0.2215,0.1155,0.185,9
2522,F,0.565,0.44,0.15,0.983,0.4475,0.2355,0.2485,9
3220,M,0.385,0.305,0.09,0.2775,0.109,0.0515,0.1,9
2120,I,0.475,0.36,0.11,0.4555,0.177,0.0965,0.145,9
2144,F,0.415,0.325,0.115,0.3455,0.1405,0.0765,0.11,9
108,F,0.435,0.395,0.105,0.3635,0.136,0.098,0.13,9
3204,M,0.335,0.265,0.095,0.1975,0.0795,0.0375,0.07,9
2054,I,0.465,0.355,0.09,0.4325,0.2005,0.074,0.1275,9
2244,M,0.46,0.375,0.14,0.5105,0.192,0.1045,0.205,9
2277,M,0.51,0.405,0.13,0.7175,0.3725,0.158,0.17,9
2223,F,0.55,0.425,0.145,0.797,0.297,0.15,0.265,9
2185,F,0.52,0.4,0.125,0.6865,0.295,0.1715,0.185,9
22,F,0.55,0.415,0.135,0.7635,0.318,0.21,0.2,9
1868,I,0.525,0.4,0.145,0.6095,0.248,0.159,0.175,9
1885,M,0.555,0.455,0.135,0.837,0.382,0.171,0.235,9
1897,F,0.57,0.44,0.12,0.803,0.382,0.1525,0.234,9
2465,M,0.425,0.325,0.12,0.3755,0.142,0.1065,0.105,9
3154,M,0.505,0.395,0.125,0.635,0.29,0.1555,0.175,9
199,F,0.45,0.345,0.12,0.4165,0.1655,0.095,0.135,9
146,I,0.28,0.205,0.08,0.127,0.052,0.039,0.042,9
2015,M,0.505,0.39,0.12,0.653,0.3315,0.1385,0.167,9
1962,M,0.655,0.52,0.17,1.1445,0.53,0.223,0.348,9
1919,F,0.605,0.455,0.145,0.862,0.334,0.1985,0.3,9
3493,F,0.555,0.43,0.135,0.812,0.4055,0.163,0.2215,9
1177,F,0.65,0.5,0.19,1.464,0.6415,0.339,0.4245,9
1189,F,0.69,0.53,0.17,1.5535,0.7945,0.3485,0.3695,9
3729,M,0.515,0.37,0.115,0.6145,0.3415,0.155,0.146,9
1139,M,0.575,0.455,0.135,0.907,0.4245,0.197,0.26,9
2994,M,0.61,0.485,0.17,1.281,0.597,0.3035,0.33,9
3954,I,0.49,0.385,0.12,0.591,0.271,0.1125,0.1775,9
1294,I,0.525,0.4,0.125,0.6965,0.369,0.1385,0.164,9
1307,F,0.545,0.445,0.15,0.8,0.3535,0.163,0.207,9
838,I,0.485,0.355,0.105,0.498,0.2175,0.096,0.1525,9
831,I,0.44,0.365,0.115,0.501,0.2435,0.084,0.1465,9
3810,M,0.555,0.445,0.13,0.8625,0.4225,0.155,0.24,9
629,I,0.475,0.365,0.115,0.49,0.223,0.1235,0.1335,9
1004,M,0.605,0.475,0.155,1.161,0.572,0.2455,0.275,9
2776,I,0.585,0.42,0.145,0.6735,0.2895,0.1345,0.22,9
3858,F,0.57,0.44,0.19,1.018,0.447,0.207,0.265,9
3874,M,0.295,0.225,0.09,0.1385,0.048,0.046,0.05,9
2773,F,0.58,0.425,0.15,0.844,0.3645,0.185,0.2705,9
2987,M,0.555,0.425,0.15,0.873,0.4625,0.1845,0.1965,9
1120,M,0.545,0.41,0.12,0.793,0.434,0.1405,0.19,9
1030,M,0.65,0.495,0.16,1.304,0.57,0.312,0.3725,9
