,Fold,k,sigma,epsilon,Error
0,0,4,1,10,3.1525042616104635
1,0,4,1,11,3.1525042616104635
2,0,4,1,12,3.1525042616104635
3,0,4,2,10,1.9517103382111676
4,0,4,2,11,1.9517103382111676
5,0,4,2,12,1.9517103382111676
6,0,4,3,10,1.5131311919263986
7,0,4,3,11,1.5131311919263986
8,0,4,3,12,1.5131311919263986
9,0,5,1,10,2.8167380788319245
10,0,5,1,11,2.8167380788319245
11,0,5,1,12,2.8167380788319245
12,0,5,2,10,1.5156376679230334
13,0,5,2,11,1.5156376679230334
14,0,5,2,12,1.5156376679230334
15,0,5,3,10,1.0689862167304298
16,0,5,3,11,1.0689862167304298
17,0,5,3,12,1.0689862167304298
18,0,6,1,10,2.838342557375201
19,0,6,1,11,2.838342557375201
20,0,6,1,12,2.838342557375201
21,0,6,2,10,1.6509214485673624
22,0,6,2,11,1.6509214485673624
23,0,6,2,12,1.6509214485673624
24,0,6,3,10,1.2920044611676806
25,0,6,3,11,1.2920044611676806
26,0,6,3,12,1.2920044611676806
27,1,4,1,10,4.773399626930819
28,1,4,1,11,4.773399626930819
29,1,4,1,12,4.773399626930819
30,1,4,2,10,4.080263437847252
31,1,4,2,11,4.080263437847252
32,1,4,2,12,4.080263437847252
33,1,4,3,10,3.7663380546156446
34,1,4,3,11,3.7663380546156446
35,1,4,3,12,3.7663380546156446
36,1,5,1,10,3.973694675847868
37,1,5,1,11,3.973694675847868
38,1,5,1,12,3.973694675847868
39,1,5,2,10,2.5482666919700225
40,1,5,2,11,2.5482666919700225
41,1,5,2,12,2.5482666919700225
42,1,5,3,10,1.9458649794711491
43,1,5,3,11,1.9458649794711491
44,1,5,3,12,1.9458649794711491
45,1,6,1,10,3.912105552863482
46,1,6,1,11,3.912105552863482
47,1,6,1,12,3.912105552863482
48,1,6,2,10,2.502907863825724
49,1,6,2,11,2.502907863825724
50,1,6,2,12,2.502907863825724
51,1,6,3,10,1.9654236086659538
52,1,6,3,11,1.9654236086659538
53,1,6,3,12,1.9654236086659538
