,Fold,k,sigma,epsilon,Error
0,0,4,4,,6.488409216414416
1,0,4,5,,6.490216971339656
2,0,4,6,,6.491432544288647
3,0,4,7,,6.492305406856877
4,0,4,8,,6.492962380273313
5,0,4,9,,6.493474658076113
6,0,4,10,,6.493885260839393
7,0,4,11,,6.49422170791606
8,0,4,12,,6.494502422717707
9,0,4,13,,6.49474021237056
10,0,5,4,,6.060988385468278
11,0,5,5,,6.061832821165745
12,0,5,6,,6.062405132005391
13,0,5,7,,6.062818119636204
14,0,5,8,,6.063130017133082
15,0,5,9,,6.063373826015063
16,0,5,10,,6.06356961785369
17,0,5,11,,6.063730294093568
18,0,5,12,,6.063864527550926
19,0,5,13,,6.0639783749072595
20,0,6,4,,
21,0,6,5,,
22,0,6,6,,
23,0,6,7,,
24,0,6,8,,
25,0,6,9,,
26,0,6,10,,
27,0,6,11,,
28,0,6,12,,
29,0,6,13,,
30,0,7,4,,
31,0,7,5,,
32,0,7,6,,
33,0,7,7,,
34,0,7,8,,
35,0,7,9,,
36,0,7,10,,
37,0,7,11,,
38,0,7,12,,
39,0,7,13,,
40,0,8,4,,
41,0,8,5,,
42,0,8,6,,
43,0,8,7,,
44,0,8,8,,
45,0,8,9,,
46,0,8,10,,
47,0,8,11,,
48,0,8,12,,
49,0,8,13,,
50,1,4,4,,
51,1,4,5,,
52,1,4,6,,
53,1,4,7,,
54,1,4,8,,
55,1,4,9,,
56,1,4,10,,
57,1,4,11,,
58,1,4,12,,
59,1,4,13,,
60,1,5,4,,
61,1,5,5,,
62,1,5,6,,
63,1,5,7,,
64,1,5,8,,
65,1,5,9,,
66,1,5,10,,
67,1,5,11,,
68,1,5,12,,
69,1,5,13,,
70,1,6,4,,
71,1,6,5,,
72,1,6,6,,
73,1,6,7,,
74,1,6,8,,
75,1,6,9,,
76,1,6,10,,
77,1,6,11,,
78,1,6,12,,
79,1,6,13,,
80,1,7,4,,
81,1,7,5,,
82,1,7,6,,
83,1,7,7,,
84,1,7,8,,
85,1,7,9,,
86,1,7,10,,
87,1,7,11,,
88,1,7,12,,
89,1,7,13,,
90,1,8,4,,
91,1,8,5,,
92,1,8,6,,
93,1,8,7,,
94,1,8,8,,
95,1,8,9,,
96,1,8,10,,
97,1,8,11,,
98,1,8,12,,
99,1,8,13,,
100,2,4,4,,
101,2,4,5,,
102,2,4,6,,
103,2,4,7,,
104,2,4,8,,
105,2,4,9,,
106,2,4,10,,
107,2,4,11,,
108,2,4,12,,
109,2,4,13,,
110,2,5,4,,
111,2,5,5,,
112,2,5,6,,
113,2,5,7,,
114,2,5,8,,
115,2,5,9,,
116,2,5,10,,
117,2,5,11,,
118,2,5,12,,
119,2,5,13,,
120,2,6,4,,
121,2,6,5,,
122,2,6,6,,
123,2,6,7,,
124,2,6,8,,
125,2,6,9,,
126,2,6,10,,
127,2,6,11,,
128,2,6,12,,
129,2,6,13,,
130,2,7,4,,
131,2,7,5,,
132,2,7,6,,
133,2,7,7,,
134,2,7,8,,
135,2,7,9,,
136,2,7,10,,
137,2,7,11,,
138,2,7,12,,
139,2,7,13,,
140,2,8,4,,
141,2,8,5,,
142,2,8,6,,
143,2,8,7,,
144,2,8,8,,
145,2,8,9,,
146,2,8,10,,
147,2,8,11,,
148,2,8,12,,
149,2,8,13,,
150,3,4,4,,
151,3,4,5,,
152,3,4,6,,
153,3,4,7,,
154,3,4,8,,
155,3,4,9,,
156,3,4,10,,
157,3,4,11,,
158,3,4,12,,
159,3,4,13,,
160,3,5,4,,
161,3,5,5,,
162,3,5,6,,
163,3,5,7,,
164,3,5,8,,
165,3,5,9,,
166,3,5,10,,
167,3,5,11,,
168,3,5,12,,
169,3,5,13,,
170,3,6,4,,
171,3,6,5,,
172,3,6,6,,
173,3,6,7,,
174,3,6,8,,
175,3,6,9,,
176,3,6,10,,
177,3,6,11,,
178,3,6,12,,
179,3,6,13,,
180,3,7,4,,
181,3,7,5,,
182,3,7,6,,
183,3,7,7,,
184,3,7,8,,
185,3,7,9,,
186,3,7,10,,
187,3,7,11,,
188,3,7,12,,
189,3,7,13,,
190,3,8,4,,
191,3,8,5,,
192,3,8,6,,
193,3,8,7,,
194,3,8,8,,
195,3,8,9,,
196,3,8,10,,
197,3,8,11,,
198,3,8,12,,
199,3,8,13,,
200,4,4,4,,
201,4,4,5,,
202,4,4,6,,
203,4,4,7,,
204,4,4,8,,
205,4,4,9,,
206,4,4,10,,
207,4,4,11,,
208,4,4,12,,
209,4,4,13,,
210,4,5,4,,
211,4,5,5,,
212,4,5,6,,
213,4,5,7,,
214,4,5,8,,
215,4,5,9,,
216,4,5,10,,
217,4,5,11,,
218,4,5,12,,
219,4,5,13,,
220,4,6,4,,
221,4,6,5,,
222,4,6,6,,
223,4,6,7,,
224,4,6,8,,
225,4,6,9,,
226,4,6,10,,
227,4,6,11,,
228,4,6,12,,
229,4,6,13,,
230,4,7,4,,
231,4,7,5,,
232,4,7,6,,
233,4,7,7,,
234,4,7,8,,
235,4,7,9,,
236,4,7,10,,
237,4,7,11,,
238,4,7,12,,
239,4,7,13,,
240,4,8,4,,
241,4,8,5,,
242,4,8,6,,
243,4,8,7,,
244,4,8,8,,
245,4,8,9,,
246,4,8,10,,
247,4,8,11,,
248,4,8,12,,
249,4,8,13,,
250,5,4,4,,
251,5,4,5,,
252,5,4,6,,
253,5,4,7,,
254,5,4,8,,
255,5,4,9,,
256,5,4,10,,
257,5,4,11,,
258,5,4,12,,
259,5,4,13,,
260,5,5,4,,
261,5,5,5,,
262,5,5,6,,
263,5,5,7,,
264,5,5,8,,
265,5,5,9,,
266,5,5,10,,
267,5,5,11,,
268,5,5,12,,
269,5,5,13,,
270,5,6,4,,
271,5,6,5,,
272,5,6,6,,
273,5,6,7,,
274,5,6,8,,
275,5,6,9,,
276,5,6,10,,
277,5,6,11,,
278,5,6,12,,
279,5,6,13,,
280,5,7,4,,
281,5,7,5,,
282,5,7,6,,
283,5,7,7,,
284,5,7,8,,
