,Fold,k,sigma,Error
0,0,4,,0.4914915966386555
1,0,5,,0.1957356076759061
2,0,6,,0.2153209109730849
3,0,7,,0.3485294117647058
4,0,8,,0.3485294117647058
5,1,4,,0.42754329004329
6,1,5,,0.4832298136645963
7,1,6,,0.2055672268907562
8,1,7,,0.5081168831168831
9,1,8,,0.4253968253968254
10,2,4,,0.42754329004329
11,2,5,,0.405171130952381
12,2,6,,0.2970859985785359
13,2,7,,0.2663961038961039
14,2,8,,0.2970859985785359
15,3,4,,0.2055672268907562
16,3,5,,0.2055672268907562
17,3,6,,0.3485294117647058
18,3,7,,0.3984363894811655
19,3,8,,0.2153209109730849
20,4,4,,0.4832298136645963
21,4,5,,0.3469696969696969
22,4,6,,0.4832298136645963
23,4,7,,0.2970859985785359
24,4,8,,0.2153209109730849
25,5,4,,0.3
26,5,5,,0.3
27,5,6,,0.3485294117647058
28,5,7,,0.2055672268907562
29,5,8,,0.3
30,6,4,,0.39843638948116555
31,6,5,,0.30000000000000004
32,6,6,,0.34852941176470587
33,6,7,,0.4914915966386555
34,6,8,,0.21532091097308492
35,7,4,,0.30000000000000004
36,7,5,,0.34852941176470587
37,7,6,,0.34852941176470587
38,7,7,,0.34852941176470587
39,7,8,,0.20556722689075624
40,8,4,,0.21532091097308492
41,8,5,,0.30000000000000004
42,8,6,,0.2970859985785359
43,8,7,,0.4832298136645963
44,8,8,,0.24395604395604398
45,9,4,,0.21532091097308492
46,9,5,,0.30000000000000004
47,9,6,,0.30000000000000004
48,9,7,,0.30000000000000004
49,9,8,,0.21532091097308492
