,Fold,k,sigma,epsilon,Error
0,0,4,4,2,0.0
1,0,4,4,3,0.0
2,0,4,4,4,0.0
3,0,4,4,5,0.0
4,0,4,4,6,0.0
5,0,4,13,2,0.0
6,0,4,13,3,0.0
7,0,4,13,4,0.0
8,0,4,13,5,0.0
9,0,4,13,6,0.0
10,0,5,4,2,0.0
11,0,5,4,3,0.0
12,0,5,4,4,0.0
13,0,5,4,5,0.0
14,0,5,4,6,0.0
15,0,5,13,2,0.0
16,0,5,13,3,0.0
17,0,5,13,4,0.0
18,0,5,13,5,0.0
19,0,5,13,6,0.0
20,0,6,4,2,0.0
21,0,6,4,3,0.0
22,0,6,4,4,0.0
23,0,6,4,5,0.0
24,0,6,4,6,0.0
25,0,6,13,2,0.0
26,0,6,13,3,0.0
27,0,6,13,4,0.0
28,0,6,13,5,0.0
29,0,6,13,6,0.0
30,0,7,4,2,0.0
31,0,7,4,3,0.0
32,0,7,4,4,0.0
33,0,7,4,5,0.0
34,0,7,4,6,0.0
35,0,7,13,2,0.0
36,0,7,13,3,0.0
37,0,7,13,4,0.0
38,0,7,13,5,0.0
39,0,7,13,6,0.0
40,0,8,4,2,0.0
41,0,8,4,3,0.0
42,0,8,4,4,0.0
43,0,8,4,5,0.0
44,0,8,4,6,0.0
45,0,8,13,2,0.0
46,0,8,13,3,0.0
47,0,8,13,4,0.0
48,0,8,13,5,0.0
49,0,8,13,6,0.0
50,1,4,4,2,0.0
51,1,4,4,3,0.0
52,1,4,4,4,0.0
53,1,4,4,5,0.0
54,1,4,4,6,0.0
55,1,4,13,2,0.0
56,1,4,13,3,0.0
57,1,4,13,4,0.0
58,1,4,13,5,0.0
59,1,4,13,6,0.0
60,1,5,4,2,0.0
61,1,5,4,3,0.0
62,1,5,4,4,0.0
63,1,5,4,5,0.0
64,1,5,4,6,0.0
65,1,5,13,2,0.0
66,1,5,13,3,0.0
67,1,5,13,4,0.0
68,1,5,13,5,0.0
69,1,5,13,6,0.0
70,1,6,4,2,0.0
71,1,6,4,3,0.0
72,1,6,4,4,0.0
73,1,6,4,5,0.0
74,1,6,4,6,0.0
75,1,6,13,2,0.0
76,1,6,13,3,0.0
77,1,6,13,4,0.0
78,1,6,13,5,0.0
79,1,6,13,6,0.0
80,1,7,4,2,0.0
81,1,7,4,3,0.0
82,1,7,4,4,0.0
83,1,7,4,5,0.0
84,1,7,4,6,0.0
85,1,7,13,2,0.0
86,1,7,13,3,0.0
87,1,7,13,4,0.0
88,1,7,13,5,0.0
89,1,7,13,6,0.0
90,1,8,4,2,0.0
91,1,8,4,3,0.0
92,1,8,4,4,0.0
93,1,8,4,5,0.0
94,1,8,4,6,0.0
95,1,8,13,2,0.0
96,1,8,13,3,0.0
97,1,8,13,4,0.0
98,1,8,13,5,0.0
99,1,8,13,6,0.0
100,2,4,4,2,0.0
101,2,4,4,3,0.0
102,2,4,4,4,0.0
103,2,4,4,5,0.0
104,2,4,4,6,0.0
105,2,4,13,2,0.0
106,2,4,13,3,0.0
107,2,4,13,4,0.0
108,2,4,13,5,0.0
109,2,4,13,6,0.0
110,2,5,4,2,0.0
111,2,5,4,3,0.0
112,2,5,4,4,0.0
113,2,5,4,5,0.0
114,2,5,4,6,0.0
115,2,5,13,2,0.0
116,2,5,13,3,0.0
117,2,5,13,4,0.0
118,2,5,13,5,0.0
119,2,5,13,6,0.0
120,2,6,4,2,0.0
121,2,6,4,3,0.0
122,2,6,4,4,0.0
123,2,6,4,5,0.0
124,2,6,4,6,0.0
125,2,6,13,2,0.0
126,2,6,13,3,0.0
127,2,6,13,4,0.0
128,2,6,13,5,0.0
129,2,6,13,6,0.0
130,2,7,4,2,0.0
131,2,7,4,3,0.0
132,2,7,4,4,0.0
133,2,7,4,5,0.0
134,2,7,4,6,0.0
135,2,7,13,2,0.0
136,2,7,13,3,0.0
137,2,7,13,4,0.0
138,2,7,13,5,0.0
139,2,7,13,6,0.0
140,2,8,4,2,0.0
141,2,8,4,3,0.0
142,2,8,4,4,0.0
143,2,8,4,5,0.0
144,2,8,4,6,0.0
145,2,8,13,2,0.0
146,2,8,13,3,0.0
147,2,8,13,4,0.0
148,2,8,13,5,0.0
149,2,8,13,6,0.0
150,3,4,4,2,0.0
151,3,4,4,3,0.0
152,3,4,4,4,0.0
153,3,4,4,5,0.0
154,3,4,4,6,0.0
155,3,4,13,2,0.0
156,3,4,13,3,0.0
157,3,4,13,4,0.0
158,3,4,13,5,0.0
159,3,4,13,6,0.0
160,3,5,4,2,0.0
161,3,5,4,3,0.0
162,3,5,4,4,0.0
163,3,5,4,5,0.0
164,3,5,4,6,0.0
165,3,5,13,2,0.0
166,3,5,13,3,0.0
167,3,5,13,4,0.0
168,3,5,13,5,0.0
169,3,5,13,6,0.0
170,3,6,4,2,0.0
171,3,6,4,3,0.0
172,3,6,4,4,0.0
173,3,6,4,5,0.0
174,3,6,4,6,0.0
175,3,6,13,2,0.0
176,3,6,13,3,0.0
177,3,6,13,4,0.0
178,3,6,13,5,0.0
179,3,6,13,6,0.0
180,3,7,4,2,0.0
181,3,7,4,3,0.0
182,3,7,4,4,0.0
183,3,7,4,5,0.0
184,3,7,4,6,0.0
185,3,7,13,2,0.0
186,3,7,13,3,0.0
187,3,7,13,4,0.0
188,3,7,13,5,0.0
189,3,7,13,6,0.0
190,3,8,4,2,0.0
191,3,8,4,3,0.0
192,3,8,4,4,0.0
193,3,8,4,5,0.0
194,3,8,4,6,0.0
195,3,8,13,2,0.0
196,3,8,13,3,0.0
197,3,8,13,4,0.0
198,3,8,13,5,0.0
199,3,8,13,6,0.0
200,4,4,4,2,0.0
201,4,4,4,3,0.0
202,4,4,4,4,0.0
203,4,4,4,5,0.0
204,4,4,4,6,0.0
205,4,4,13,2,0.0
206,4,4,13,3,0.0
207,4,4,13,4,0.0
208,4,4,13,5,0.0
209,4,4,13,6,0.0
210,4,5,4,2,0.0
211,4,5,4,3,0.0
212,4,5,4,4,0.0
213,4,5,4,5,0.0
214,4,5,4,6,0.0
215,4,5,13,2,0.0
216,4,5,13,3,0.0
217,4,5,13,4,0.0
218,4,5,13,5,0.0
219,4,5,13,6,0.0
220,4,6,4,2,0.0
221,4,6,4,3,0.0
222,4,6,4,4,0.0
223,4,6,4,5,0.0
224,4,6,4,6,0.0
225,4,6,13,2,0.0
226,4,6,13,3,0.0
227,4,6,13,4,0.0
228,4,6,13,5,0.0
229,4,6,13,6,0.0
230,4,7,4,2,0.0
231,4,7,4,3,0.0
232,4,7,4,4,0.0
233,4,7,4,5,0.0
234,4,7,4,6,0.0
235,4,7,13,2,0.0
236,4,7,13,3,0.0
237,4,7,13,4,0.0
238,4,7,13,5,0.0
239,4,7,13,6,0.0
240,4,8,4,2,0.0
241,4,8,4,3,0.0
242,4,8,4,4,0.0
243,4,8,4,5,0.0
244,4,8,4,6,0.0
245,4,8,13,2,0.0
246,4,8,13,3,0.0
247,4,8,13,4,0.0
248,4,8,13,5,0.0
249,4,8,13,6,0.0
250,5,4,4,2,0.0
251,5,4,4,3,0.0
252,5,4,4,4,0.0
253,5,4,4,5,0.0
254,5,4,4,6,0.0
255,5,4,13,2,0.0
256,5,4,13,3,0.0
257,5,4,13,4,0.0
258,5,4,13,5,0.0
259,5,4,13,6,0.0
260,5,5,4,2,0.0
261,5,5,4,3,0.0
262,5,5,4,4,0.0
263,5,5,4,5,0.0
264,5,5,4,6,0.0
265,5,5,13,2,0.0
266,5,5,13,3,0.0
267,5,5,13,4,0.0
268,5,5,13,5,0.0
269,5,5,13,6,0.0
270,5,6,4,2,0.0
271,5,6,4,3,0.0
272,5,6,4,4,0.0
273,5,6,4,5,0.0
274,5,6,4,6,0.0
275,5,6,13,2,0.0
276,5,6,13,3,0.0
277,5,6,13,4,0.0
278,5,6,13,5,0.0
279,5,6,13,6,0.0
