,Fold,k,sigma,Error
0,0,4,4,1675.5268144958077
1,0,4,5,1408.3165218930178
2,0,4,6,1284.5458175257093
3,0,4,7,1156.684399564136
4,0,4,8,315.5834835097167
5,0,4,9,863.6196285901036
6,0,4,10,803.7732953179877
7,0,4,11,966.5756274820124
8,0,4,12,898.2672158417065
9,0,4,13,778.0920203682612
10,0,5,4,1348.0151961884278
11,0,5,5,2062.75533611858
12,0,5,6,774.7305548775828
13,0,5,7,901.5642699194434
14,0,5,8,1027.123895931469
15,0,5,9,743.1447725582516
16,0,5,10,883.257327935453
17,0,5,11,863.233517054603
18,0,5,12,809.8220563051328
19,0,5,13,925.1590209992656
20,0,6,4,894.0886340212529
21,0,6,5,2340.876166505346
22,0,6,6,965.9408650108702
23,0,6,7,1379.6073021693967
24,0,6,8,1032.1524488503983
25,0,6,9,697.0359821009648
26,0,6,10,897.5263524590707
27,0,6,11,872.0037373470434
28,0,6,12,865.7156225086078
29,0,6,13,661.9583082220872
30,0,7,4,1356.6262132672762
31,0,7,5,1185.5862386806657
32,0,7,6,1182.1113338483096
33,0,7,7,924.581061767784
34,0,7,8,849.3332252982914
35,0,7,9,1838.0710591957816
36,0,7,10,980.6657203799352
37,0,7,11,903.6975504495616
38,0,7,12,916.8641167552424
39,0,7,13,880.8205550015493
40,0,8,4,2185.3708047438963
41,0,8,5,1667.4288290255986
42,0,8,6,1295.868785886189
43,0,8,7,1050.4344103806138
44,0,8,8,996.401341788672
45,0,8,9,1206.3157447249682
46,0,8,10,878.0522085239968
47,0,8,11,409.4326828092025
48,0,8,12,766.3107542105737
49,0,8,13,1035.2772770412373
50,1,4,4,815.7499963019662
51,1,4,5,1822.753807229157
52,1,4,6,857.7456329493891
53,1,4,7,1218.562887950551
54,1,4,8,991.8333411041044
55,1,4,9,921.613277224785
56,1,4,10,798.9096865474785
57,1,4,11,806.7151876185407
58,1,4,12,683.1314630186228
59,1,4,13,821.1515826416688
60,1,5,4,1389.9232468935695
61,1,5,5,1606.605580706148
62,1,5,6,986.010043750132
63,1,5,7,1098.5135455369575
64,1,5,8,602.3110590379783
65,1,5,9,981.4263074605356
66,1,5,10,850.6702118217988
67,1,5,11,839.4980976585157
68,1,5,12,880.0447858094135
69,1,5,13,834.734261670553
70,1,6,4,1842.046418150872
71,1,6,5,1352.136960980121
72,1,6,6,1415.2508204092003
73,1,6,7,992.2001501779708
74,1,6,8,873.7699513833305
75,1,6,9,1068.6482636765677
76,1,6,10,875.7162386772951
77,1,6,11,958.9483941765374
78,1,6,12,872.2689855640409
