,Fold,k,sigma,epsilon,Error
0,0,4,4,,1081.6437737294102
1,0,4,5,,1091.729320752888
2,0,4,6,,1097.4797274447835
3,0,4,7,,1100.9724755567122
4,0,4,8,,1103.2238653835486
5,0,4,9,,1104.753748626799
6,0,4,10,,1105.8418826745951
7,0,4,11,,1106.6464444311623
8,0,4,12,,1107.2610875420426
9,0,4,13,,1107.7436646065555
10,0,5,4,,1070.8900838497743
11,0,5,5,,1076.7100404548178
12,0,5,6,,1079.14307873416
13,0,5,7,,1080.3610296453503
14,0,5,8,,1081.245119533039
15,0,5,9,,1082.12089660322
16,0,5,10,,1083.0846144070954
17,0,5,11,,1084.1437204535237
18,0,5,12,,1085.275915514071
19,0,5,13,,1086.4529344113405
20,0,6,4,,1141.0778436894932
21,0,6,5,,1224.7603977621727
22,0,6,6,,1297.2268225007565
23,0,6,7,,1358.929909255203
24,0,6,8,,1411.3560573366658
25,0,6,9,,1456.099953502675
26,0,6,10,,1494.5570309594057
27,0,6,11,,1527.868309631137
28,0,6,12,,1556.9453165470445
29,0,6,13,,1582.512344813974
30,0,7,4,,1159.9844564947618
31,0,7,5,,1239.815157427122
32,0,7,6,,1305.6022505868382
33,0,7,7,,1359.6081360997066
34,0,7,8,,1404.257746825626
35,0,7,9,,1441.5709709646992
36,0,7,10,,1473.1092936687735
37,0,7,11,,1500.0567069300846
38,0,7,12,,1523.311742584316
39,0,7,13,,1543.5620795378277
40,0,8,4,,1249.7687343044474
41,0,8,5,,1348.285928851281
42,0,8,6,,1426.9810405644823
43,0,8,7,,1490.2198368887332
44,0,8,8,,1541.732856930326
45,0,8,9,,1584.3215775766198
46,0,8,10,,1620.027641443942
47,0,8,11,,1650.3424708834332
48,0,8,12,,1676.3695733259617
49,0,8,13,,1698.9381822465211
50,1,4,4,,1085.7945986168943
51,1,4,5,,1093.6740549477809
52,1,4,6,,1098.8184737378797
53,1,4,7,,1103.0144993387328
54,1,4,8,,1106.9374513998016
55,1,4,9,,1110.776930145352
56,1,4,10,,1114.5437559823383
57,1,4,11,,1118.2003611932018
58,1,4,12,,1121.708218574438
59,1,4,13,,1125.0409783460132
60,1,5,4,,1095.157135559641
61,1,5,5,,1129.188543103453
62,1,5,6,,1164.5033794990766
63,1,5,7,,1198.449940730799
64,1,5,8,,1229.7593141466807
65,1,5,9,,1258.0444086462342
66,1,5,10,,1283.353036757414
67,1,5,11,,1305.9190243575647
68,1,5,12,,1326.03776335086
69,1,5,13,,1344.0076441263814
70,1,6,4,,1165.9950488299528
71,1,6,5,,1244.8939372397867
72,1,6,6,,1315.1047456759725
73,1,6,7,,1375.776643061196
74,1,6,8,,1427.709858086338
75,1,6,9,,1472.1480097998474
76,1,6,10,,1510.3203239374056
77,1,6,11,,1543.3003721309046
78,1,6,12,,1571.9814755795817
79,1,6,13,,1597.091894649698
80,1,7,4,,1333.111780041432
81,1,7,5,,1452.9135634788834
82,1,7,6,,1552.6177525258863
83,1,7,7,,1635.026838951513
84,1,7,8,,1703.45077459944
85,1,7,9,,1760.7439082568396
86,1,7,10,,1809.1768343243853
87,1,7,11,,1850.5146622658872
88,1,7,12,,1886.1234149545392
89,1,7,13,,1917.063206795346
90,1,8,4,,1321.8191319776083
91,1,8,5,,1427.1448346487257
92,1,8,6,,1511.855125069322
93,1,8,7,,1580.15483823979
94,1,8,8,,1635.8177379171768
95,1,8,9,,1681.750013544822
96,1,8,10,,1720.1207878072264
97,1,8,11,,1752.5485623678042
98,1,8,12,,1780.2499059547993
99,1,8,13,,1804.1480300618127
100,2,4,4,,1004.5390061834808
101,2,4,5,,1007.19771109131
102,2,4,6,,1009.5240633148484
103,2,4,7,,1011.5308758964112
104,2,4,8,,1013.264571364128
105,2,4,9,,1014.7719078962018
106,2,4,10,,1016.092170220994
107,2,4,11,,1017.2567919558296
108,2,4,12,,1018.2907346942212
109,2,4,13,,1019.2139581256316
110,2,5,4,,904.124169497524
111,2,5,5,,921.3300699196536
112,2,5,6,,945.73432810428
113,2,5,7,,971.471761619274
114,2,5,8,,995.8950020812284
115,2,5,9,,1018.0753197101984
116,2,5,10,,1037.85214953677
117,2,5,11,,1055.3703644822283
118,2,5,12,,1070.8750946031582
119,2,5,13,,1084.6257673868286
120,2,6,4,,1071.7553738062206
121,2,6,5,,1146.2135917009907
122,2,6,6,,1214.959783413971
123,2,6,7,,1274.85118750398
124,2,6,8,,1325.937382416511
125,2,6,9,,1369.3290028468014
126,2,6,10,,1406.3056850464482
127,2,6,11,,1438.018321459234
128,2,6,12,,1465.421421164806
129,2,6,13,,1489.2830400295245
130,2,7,4,,1088.9877328461616
131,2,7,5,,1162.7167635855374
132,2,7,6,,1227.6316364590891
133,2,7,7,,1282.226009360617
134,2,7,8,,1327.5581931308102
135,2,7,9,,1365.261867624726
136,2,7,10,,1396.856487225146
137,2,7,11,,1423.584598025394
138,2,7,12,,1446.4191933465468
139,2,7,13,,1466.1126669977634
140,2,8,4,,1173.686501144783
141,2,8,5,,1267.9064270932408
142,2,8,6,,1347.4562967657423
143,2,8,7,,1412.7630797830914
144,2,8,8,,1466.2217295172622
145,2,8,9,,1510.3034996279457
146,2,8,10,,1547.0498501044842
147,2,8,11,,1578.037503329502
148,2,8,12,,1604.4612233299072
149,2,8,13,,1627.2259924499124
150,3,4,4,,1093.1910953819847
151,3,4,5,,1102.200952698277
152,3,4,6,,1107.1144076389276
153,3,4,7,,1109.9123673266809
154,3,4,8,,1111.5708582871205
155,3,4,9,,1112.5888884162168
156,3,4,10,,1113.232459974368
157,3,4,11,,1113.6491295742069
158,3,4,12,,1113.9238129380574
159,3,4,13,,1114.1070533074958
160,3,5,4,,1408.5205992186154
161,3,5,5,,1497.1231209209184
162,3,5,6,,1563.370794309193
163,3,5,7,,1614.674388987317
164,3,5,8,,1655.6866215471434
165,3,5,9,,1689.3362063079298
166,3,5,10,,1717.5251334557556
167,3,5,11,,1741.536119969457
168,3,5,12,,1762.2666294957105
169,3,5,13,,1780.365659263483
170,3,6,4,,1323.2988291498318
171,3,6,5,,1394.7862190962126
172,3,6,6,,1446.5053131536283
173,3,6,7,,1485.6603659419484
174,3,6,8,,1516.4809167206245
175,3,6,9,,1541.492543395038
176,3,6,10,,1562.2728904481633
177,3,6,11,,1579.8569330845055
178,3,6,12,,1594.9548411142985
179,3,6,13,,1608.0730794052663
180,3,7,4,,1263.9463144484414
181,3,7,5,,1313.7618552273525
182,3,7,6,,1347.8651788449956
183,3,7,7,,1372.818347719975
184,3,7,8,,1392.0781251171793
185,3,7,9,,1407.5358641645323
186,3,7,10,,1420.296495197198
187,3,7,11,,1431.0511143553256
188,3,7,12,,1440.2591271877634
189,3,7,13,,1448.2417082504594
190,3,8,4,,1326.4261026172487
191,3,8,5,,1394.2672595454849
192,3,8,6,,1443.5685042890243
193,3,8,7,,1481.3845143469805
194,3,8,8,,1511.5809074398644
195,3,8,9,,1536.387344289155
196,3,8,10,,1557.1885795576104
197,3,8,11,,1574.9049332352456
198,3,8,12,,1590.1818663231293
199,3,8,13,,1603.490800625411
200,4,4,4,,1100.8884863913422
201,4,4,5,,1106.457772141081
202,4,4,6,,1109.18358518893
203,4,4,7,,1110.508667207083
204,4,4,8,,1111.12295224766
205,4,4,9,,1111.3603360871866
206,4,4,10,,1111.3896654828377
207,4,4,11,,1111.3010811065055
208,4,4,12,,1111.1452543940975
209,4,4,13,,1110.9519085794734
210,4,5,4,,1099.567864212148
211,4,5,5,,1102.055304614207
212,4,5,6,,1102.3286316108752
213,4,5,7,,1102.0483037558968
214,4,5,8,,1101.831236394559
215,4,5,9,,1101.8543258325192
216,4,5,10,,1102.1281887933196
217,4,5,11,,1102.6100641628925
218,4,5,12,,1103.247302481146
219,4,5,13,,1103.9924544906544
220,4,6,4,,1117.2857963019062
221,4,6,5,,1143.9824529655407
222,4,6,6,,1169.9428917140654
223,4,6,7,,1193.768154486638
224,4,6,8,,1215.05782844307
225,4,6,9,,1233.889011567533
226,4,6,10,,1250.5084573845745
227,4,6,11,,1265.198990449237
228,4,6,12,,1278.2283172779282
229,4,6,13,,1289.8325841213275
230,4,7,4,,1026.9164350380129
231,4,7,5,,1043.029094610432
232,4,7,6,,1059.435140388548
233,4,7,7,,1074.6406189449592
234,4,7,8,,1088.2299266404068
235,4,7,9,,1100.2147947712003
236,4,7,10,,1110.7489856210177
237,4,7,11,,1120.0185695217726
238,4,7,12,,1128.2019153050655
239,4,7,13,,1135.4568440621138
240,4,8,4,,1024.4655715445647
241,4,8,5,,1037.9110893609022
242,4,8,6,,1050.688159197007
243,4,8,7,,1062.0497952857036
244,4,8,8,,1071.9407912153424
245,4,8,9,,1080.5079139564411
246,4,8,10,,1087.9369673717597
247,4,8,11,,1094.4037489626753
248,4,8,12,,1100.0609476110753
249,4,8,13,,1105.0367747213077
250,5,4,4,,
251,5,4,5,,
252,5,4,6,,
253,5,4,7,,
254,5,4,8,,
255,5,4,9,,
256,5,4,10,,
257,5,4,11,,
258,5,4,12,,
259,5,4,13,,
260,5,5,4,,
261,5,5,5,,
262,5,5,6,,
263,5,5,7,,
264,5,5,8,,
265,5,5,9,,
266,5,5,10,,
267,5,5,11,,
268,5,5,12,,
269,5,5,13,,
270,5,6,4,,
271,5,6,5,,
272,5,6,6,,
273,5,6,7,,
274,5,6,8,,
275,5,6,9,,
276,5,6,10,,
277,5,6,11,,
278,5,6,12,,
279,5,6,13,,
280,5,7,4,,
281,5,7,5,,
282,5,7,6,,
283,5,7,7,,
284,5,7,8,,
285,5,7,9,,
286,5,7,10,,
287,5,7,11,,
288,5,7,12,,
289,5,7,13,,
290,5,8,4,,
291,5,8,5,,
292,5,8,6,,
293,5,8,7,,
294,5,8,8,,
295,5,8,9,,
296,5,8,10,,
297,5,8,11,,
298,5,8,12,,
299,5,8,13,,
300,6,4,4,,
301,6,4,5,,
302,6,4,6,,
303,6,4,7,,
304,6,4,8,,
305,6,4,9,,
306,6,4,10,,
307,6,4,11,,
308,6,4,12,,
309,6,4,13,,
310,6,5,4,,
311,6,5,5,,
312,6,5,6,,
313,6,5,7,,
314,6,5,8,,
315,6,5,9,,
316,6,5,10,,
317,6,5,11,,
318,6,5,12,,
319,6,5,13,,
320,6,6,4,,
321,6,6,5,,
322,6,6,6,,
323,6,6,7,,
324,6,6,8,,
325,6,6,9,,
326,6,6,10,,
327,6,6,11,,
328,6,6,12,,
329,6,6,13,,
330,6,7,4,,
331,6,7,5,,
332,6,7,6,,
333,6,7,7,,
334,6,7,8,,
335,6,7,9,,
336,6,7,10,,
337,6,7,11,,
338,6,7,12,,
339,6,7,13,,
340,6,8,4,,
341,6,8,5,,
342,6,8,6,,
343,6,8,7,,
344,6,8,8,,
345,6,8,9,,
346,6,8,10,,
347,6,8,11,,
348,6,8,12,,
349,6,8,13,,
350,7,4,4,,
351,7,4,5,,
352,7,4,6,,
353,7,4,7,,
354,7,4,8,,
355,7,4,9,,
356,7,4,10,,
357,7,4,11,,
358,7,4,12,,
359,7,4,13,,
360,7,5,4,,
361,7,5,5,,
362,7,5,6,,
363,7,5,7,,
364,7,5,8,,
365,7,5,9,,
366,7,5,10,,
367,7,5,11,,
368,7,5,12,,
369,7,5,13,,
370,7,6,4,,
371,7,6,5,,
372,7,6,6,,
373,7,6,7,,
374,7,6,8,,
375,7,6,9,,
376,7,6,10,,
377,7,6,11,,
378,7,6,12,,
379,7,6,13,,
380,7,7,4,,
381,7,7,5,,
382,7,7,6,,
383,7,7,7,,
384,7,7,8,,
385,7,7,9,,
386,7,7,10,,
387,7,7,11,,
388,7,7,12,,
389,7,7,13,,
390,7,8,4,,
391,7,8,5,,
392,7,8,6,,
393,7,8,7,,
394,7,8,8,,
395,7,8,9,,
396,7,8,10,,
397,7,8,11,,
398,7,8,12,,
399,7,8,13,,
400,8,4,4,,
401,8,4,5,,
402,8,4,6,,
403,8,4,7,,
404,8,4,8,,
405,8,4,9,,
406,8,4,10,,
407,8,4,11,,
408,8,4,12,,
409,8,4,13,,
410,8,5,4,,
411,8,5,5,,
412,8,5,6,,
413,8,5,7,,
414,8,5,8,,
415,8,5,9,,
416,8,5,10,,
417,8,5,11,,
418,8,5,12,,
419,8,5,13,,
420,8,6,4,,
421,8,6,5,,
422,8,6,6,,
423,8,6,7,,
424,8,6,8,,
425,8,6,9,,
