,Fold,k,sigma,Error
0,0,4,,0.4767045454545454
1,0,5,,0.4914529914529915
2,0,6,,0.4499999999999999
3,0,7,,0.4630681818181819
4,0,8,,0.5018939393939393
5,1,4,,0.4916958041958041
6,1,5,,0.487012987012987
7,1,6,,0.5416666666666667
8,1,7,,0.381737012987013
9,1,8,,0.2929292929292929
10,2,4,,0.6098484848484849
11,2,5,,0.5190642690642691
12,2,6,,0.4536616161616162
13,2,7,,0.4803571428571428
14,2,8,,0.5555555555555556
15,3,4,,0.4642857142857142
16,3,5,,0.5023809523809524
17,3,6,,0.4337121212121212
18,3,7,,0.4078282828282829
19,3,8,,0.6767676767676768
20,4,4,,0.7422459893048128
21,4,5,,0.5
22,4,6,,0.5119949494949495
23,4,7,,0.3971380471380471
24,4,8,,0.5723304473304474
25,5,4,,0.5852758352758353
26,5,5,,0.3855218855218856
27,5,6,,0.4487179487179487
28,5,7,,0.5366161616161615
29,5,8,,0.5662878787878788
30,6,4,,0.531060606060606
31,6,5,,0.6890331890331891
32,6,6,,0.5119949494949495
33,6,7,,0.51489898989899
34,6,8,,0.5727272727272728
35,7,4,,0.3698232323232322
36,7,5,,0.5416250416250417
37,7,6,,0.5088383838383839
38,7,7,,0.5190642690642691
39,7,8,,0.6878787878787879
40,8,4,,0.4485514485514486
41,8,5,,0.4337121212121212
42,8,6,,0.35037878787878785
43,8,7,,0.6153198653198653
44,8,8,,0.519023569023569
45,9,4,,0.6555735930735931
46,9,5,,0.3606060606060606
47,9,6,,0.5555555555555556
48,9,7,,0.4532828282828283
49,9,8,,0.5279356060606061
