,Fold,k,sigma,epsilon,Error
0,0,4,,,0.1287878787878787
1,0,5,,,0.1287878787878787
2,0,6,,,0.1287878787878787
3,0,7,,,0.0727272727272727
4,0,8,,,0.1454545454545455
5,1,4,,,0.1287878787878787
6,1,5,,,0.1607744107744106
7,1,6,,,0.1287878787878787
8,1,7,,,0.1287878787878787
9,1,8,,,0.1287878787878787
10,2,4,,,0.1287878787878787
11,2,5,,,0.1287878787878787
12,2,6,,,0.1287878787878787
13,2,7,,,0.1848484848484848
14,2,8,,,0.1848484848484848
15,3,4,,,0.1287878787878787
16,3,5,,,0.1287878787878787
17,3,6,,,0.1287878787878787
18,3,7,,,0.0338383838383837
19,3,8,,,0.1079545454545454
20,4,4,,,0.06439393939393945
21,4,5,,,0.10795454545454541
22,4,6,,,0.10795454545454541
23,4,7,,,0.10795454545454541
24,4,8,,,0.10795454545454541
25,5,4,,,0.12878787878787878
26,5,5,,,0.12878787878787878
27,5,6,,,0.12878787878787878
28,5,7,,,0.12878787878787878
29,5,8,,,0.12878787878787878
30,6,4,,,0.12878787878787878
31,6,5,,,0.12878787878787878
32,6,6,,,0.12878787878787878
33,6,7,,,0.12878787878787878
34,6,8,,,0.12878787878787878
35,7,4,,,0.12878787878787878
36,7,5,,,0.12878787878787878
37,7,6,,,0.12878787878787878
38,7,7,,,0.12878787878787878
39,7,8,,,0.12878787878787878
40,8,4,,,0.12878787878787878
41,8,5,,,0.12878787878787878
42,8,6,,,0.12878787878787878
43,8,7,,,0.18484848484848482
44,8,8,,,0.18484848484848482
45,9,4,,,0.12878787878787878
46,9,5,,,0.12878787878787878
47,9,6,,,0.12878787878787878
48,9,7,,,0.18484848484848482
49,9,8,,,0.18484848484848482
