,Fold,k,sigma,Error
0,0,4,4,13189.814565483888
1,0,4,5,13458.649347632943
2,0,4,6,13795.95440900213
3,0,4,7,13970.530813390962
4,0,4,8,14669.38075587504
5,0,4,9,14597.200008089792
6,0,4,10,15051.559693503288
7,0,4,11,15521.741585870372
8,0,4,12,15907.246220125642
9,0,4,13,16718.733411529225
10,0,5,4,13423.340165212105
11,0,5,5,13515.356017315957
12,0,5,6,13730.252017198289
13,0,5,7,13129.463962554482
14,0,5,8,14278.918279675145
15,0,5,9,14729.246246212864
16,0,5,10,15005.96198036573
17,0,5,11,15498.523551982287
18,0,5,12,15938.442947860234
19,0,5,13,16198.720135094109
20,0,6,4,12784.95573917517
21,0,6,5,13775.694717407434
22,0,6,6,13695.72490087401
23,0,6,7,13938.61164263866
24,0,6,8,14573.44997576496
25,0,6,9,14815.234894275754
26,0,6,10,14002.030276190784
27,0,6,11,15524.147870354614
28,0,6,12,15818.537121260744
29,0,6,13,15290.63790742832
30,0,7,4,13233.471277936873
31,0,7,5,13572.026688399816
32,0,7,6,13853.205706328476
33,0,7,7,13940.09539768051
34,0,7,8,14023.642118082282
35,0,7,9,14676.723002138342
36,0,7,10,15185.84890135996
37,0,7,11,15462.016162834798
38,0,7,12,16218.517105518027
39,0,7,13,16161.035255324005
40,0,8,4,14023.447041767082
41,0,8,5,13536.462243715554
42,0,8,6,13726.265550969132
43,0,8,7,13987.440293899948
44,0,8,8,14339.03538572291
45,0,8,9,14344.000239128294
46,0,8,10,15149.56877357755
47,0,8,11,16237.66651394108
48,0,8,12,16030.48655705354
49,0,8,13,16387.94712999198
50,1,4,4,13176.678499576085
51,1,4,5,13434.187748038596
52,1,4,6,13648.317817841997
53,1,4,7,13972.627591044622
54,1,4,8,14378.582217160629
55,1,4,9,14658.39179243721
56,1,4,10,15063.854912486113
57,1,4,11,15665.837047059034
58,1,4,12,15845.320999656386
59,1,4,13,16520.826229303195
60,1,5,4,13200.200932914537
61,1,5,5,13470.379080643364
62,1,5,6,13489.301354841606
63,1,5,7,14126.545396400175
64,1,5,8,14318.791306294344
65,1,5,9,14647.332345070758
66,1,5,10,15110.672196586433
67,1,5,11,17202.918043144444
68,1,5,12,15875.93185999869
69,1,5,13,16393.29307642076
