,Fold,k,sigma,epsilon,Error
0,0,4,4,,12803.860335946432
1,0,4,5,,12887.144547375365
2,0,4,6,,13018.754343202543
3,0,4,7,,13204.663171527722
4,0,4,8,,13438.168680747112
5,0,4,9,,13706.655939761682
6,0,4,10,,13996.555919629607
7,0,4,11,,14295.94713558321
8,0,4,12,,14595.49072557254
9,0,4,13,,14888.453593823127
10,0,5,4,,12825.31611708895
11,0,5,5,,12925.11480703072
12,0,5,6,,13069.841554431225
13,0,5,7,,13266.777934224445
14,0,5,8,,13510.484477338248
15,0,5,9,,13789.303271711022
16,0,5,10,,14090.197123896414
17,0,5,11,,14401.368460764756
18,0,5,12,,14713.303605776477
19,0,5,13,,15018.931078689278
20,0,6,4,,12900.26860825254
21,0,6,5,,13017.440252024864
22,0,6,6,,13174.514047153594
23,0,6,7,,13381.364117072995
24,0,6,8,,13634.895265147665
25,0,6,9,,13925.470415648912
26,0,6,10,,14241.562996141956
27,0,6,11,,14572.255728130816
28,0,6,12,,14908.304463130977
29,0,6,13,,15242.420291966137
30,0,7,4,,13002.271612841592
31,0,7,5,,13143.234713722271
32,0,7,6,,13318.155112056338
33,0,7,7,,13539.084916931544
34,0,7,8,,13805.171671068074
35,0,7,9,,14108.998878494036
36,0,7,10,,14441.022034342106
37,0,7,11,,14791.836665565885
38,0,7,12,,15153.119706144216
39,0,7,13,,15517.919970679965
40,0,8,4,,13100.791615143831
41,0,8,5,,13264.64460745234
42,0,8,6,,13457.119974775476
43,0,8,7,,13692.214652689316
44,0,8,8,,13971.06125268543
45,0,8,9,,14288.1976296109
46,0,8,10,,14635.808222001502
47,0,8,11,,15005.782350935737
48,0,8,12,,15390.545757809025
49,0,8,13,,15783.36297397806
50,1,4,4,,12903.283372221842
51,1,4,5,,12983.533500070907
52,1,4,6,,13112.50813064546
53,1,4,7,,13296.232626393416
54,1,4,8,,13527.954905103365
55,1,4,9,,13794.997899601209
56,1,4,10,,14083.736495830715
57,1,4,11,,14382.201243921618
58,1,4,12,,14681.012388183852
59,1,4,13,,14973.401855693268
60,1,5,4,,12913.118316467717
61,1,5,5,,13007.11956465484
62,1,5,6,,13147.387701907051
63,1,5,7,,13340.9061202408
64,1,5,8,,13581.984883079223
65,1,5,9,,13858.78775691421
66,1,5,10,,14158.1504042471
67,1,5,11,,14468.18019617531
68,1,5,12,,14779.288545696138
69,1,5,13,,15084.342596089662
70,1,6,4,,12984.426463531874
71,1,6,5,,13096.870769660904
72,1,6,6,,13250.385637155645
73,1,6,7,,13454.196535319885
74,1,6,8,,13704.408418957812
75,1,6,9,,13990.540812575604
76,1,6,10,,14300.307906972504
77,1,6,11,,14622.224917646869
78,1,6,12,,14946.722790652895
79,1,6,13,,15266.425288064547
80,1,7,4,,13078.962857380437
81,1,7,5,,13217.23499056253
82,1,7,6,,13391.149711383576
83,1,7,7,,13612.017452210925
84,1,7,8,,13878.193234276583
85,1,7,9,,14181.282535410768
86,1,7,10,,14510.617670149648
87,1,7,11,,14855.692149652688
88,1,7,12,,15207.276466087436
89,1,7,13,,15557.818826412036
90,1,8,4,,13143.08445041189
91,1,8,5,,13304.771760884629
92,1,8,6,,13498.803315469404
93,1,8,7,,13737.322013498331
94,1,8,8,,14020.185695398424
95,1,8,9,,14339.896948169482
96,1,8,10,,14688.300163616332
97,1,8,11,,15055.775525055698
98,1,8,12,,15433.811740200958
99,1,8,13,,15815.064560908206
100,2,4,4,,12918.630016790974
101,2,4,5,,13020.859839329818
102,2,4,6,,13141.824293116755
103,2,4,7,,13291.770010896478
104,2,4,8,,13471.637465445478
105,2,4,9,,13677.339528281163
106,2,4,10,,13902.7800306427
107,2,4,11,,14141.54065212845
108,2,4,12,,14387.710403573812
109,2,4,13,,14636.236814075275
110,2,5,4,,12987.66752504666
111,2,5,5,,13111.470430883845
112,2,5,6,,13247.078174804066
113,2,5,7,,13407.944068441258
114,2,5,8,,13597.209286900725
115,2,5,9,,13812.416598437623
116,2,5,10,,14048.61150909446
117,2,5,11,,14300.035608143064
118,2,5,12,,14561.00093983742
119,2,5,13,,14826.334470432126
120,2,6,4,,13091.44593888461
121,2,6,5,,13241.84253731681
122,2,6,6,,13396.837414579684
123,2,6,7,,13573.14927014163
124,2,6,8,,13776.729674321085
125,2,6,9,,14007.57225512801
126,2,6,10,,14262.672801506273
127,2,6,11,,14537.570393406091
128,2,6,12,,14827.182341393464
129,2,6,13,,15126.327051309609
130,2,7,4,,13202.500070896049
131,2,7,5,,13374.419676872008
132,2,7,6,,13544.181986090603
133,2,7,7,,13731.679456958353
134,2,7,8,,13945.353113053196
135,2,7,9,,14187.419523731149
136,2,7,10,,14456.830107631136
137,2,7,11,,14750.650925997392
138,2,7,12,,15064.766266699842
139,2,7,13,,15394.371886950332
140,2,8,4,,13308.55920596448
141,2,8,5,,13504.580484241613
142,2,8,6,,13692.01841710673
143,2,8,7,,13893.36070961591
144,2,8,8,,14119.258236963648
145,2,8,9,,14373.95039200538
146,2,8,10,,14658.16664465632
147,2,8,11,,14970.342571005389
148,2,8,12,,15307.201650072888
149,2,8,13,,15664.226542803708
150,3,4,4,,13383.333187756209
151,3,4,5,,13469.296777013487
152,3,4,6,,13605.459963272206
153,3,4,7,,13796.105343560515
154,3,4,8,,14033.912598400391
155,3,4,9,,14305.951479250672
156,3,4,10,,14598.396402299715
157,3,4,11,,14899.071765940756
158,3,4,12,,15198.39710355231
159,3,4,13,,15489.437424896634
160,3,5,4,,13471.948339599085
161,3,5,5,,13581.94075001386
162,3,5,6,,13738.164661870318
163,3,5,7,,13945.8215754572
164,3,5,8,,14198.903887147026
165,3,5,9,,14485.673940533692
166,3,5,10,,14793.13262702424
167,3,5,11,,15109.50024180701
168,3,5,12,,15425.225398709024
169,3,5,13,,15733.158923408768
170,3,6,4,,13571.93861370284
171,3,6,5,,13706.748707858767
