,Fold,k,sigma,epsilon,Error
0,0,4,3,8,0.0
1,0,4,3,9,0.29166666666666674
2,0,4,4,8,0.29166666666666674
3,0,4,4,9,0.0
4,0,5,3,8,0.0
5,0,5,3,9,0.0
6,0,5,4,8,0.7083333333333334
7,0,5,4,9,0.6666666666666667
8,1,4,3,8,0.29166666666666674
9,1,4,3,9,0.7083333333333334
10,1,4,4,8,
11,1,4,4,9,
12,1,5,3,8,
13,1,5,3,9,
14,1,5,4,8,
15,1,5,4,9,
16,2,4,3,8,
17,2,4,3,9,
18,2,4,4,8,
19,2,4,4,9,
20,2,5,3,8,
21,2,5,3,9,
22,2,5,4,8,
23,2,5,4,9,
24,3,4,3,8,
25,3,4,3,9,
26,3,4,4,8,
27,3,4,4,9,
28,3,5,3,8,
29,3,5,3,9,
30,3,5,4,8,
31,3,5,4,9,
32,4,4,3,8,
33,4,4,3,9,
34,4,4,4,8,
35,4,4,4,9,
36,4,5,3,8,
37,4,5,3,9,
38,4,5,4,8,
39,4,5,4,9,
40,5,4,3,8,
41,5,4,3,9,
42,5,4,4,8,
43,5,4,4,9,
44,5,5,3,8,
45,5,5,3,9,
46,5,5,4,8,
47,5,5,4,9,
48,6,4,3,8,
49,6,4,3,9,
50,6,4,4,8,
51,6,4,4,9,
52,6,5,3,8,
53,6,5,3,9,
54,6,5,4,8,
55,6,5,4,9,
56,7,4,3,8,
57,7,4,3,9,
58,7,4,4,8,
59,7,4,4,9,
60,7,5,3,8,
61,7,5,3,9,
62,7,5,4,8,
63,7,5,4,9,
64,8,4,3,8,
65,8,4,3,9,
66,8,4,4,8,
67,8,4,4,9,
68,8,5,3,8,
69,8,5,3,9,
70,8,5,4,8,
71,8,5,4,9,
72,9,4,3,8,
73,9,4,3,9,
74,9,4,4,8,
75,9,4,4,9,
76,9,5,3,8,
77,9,5,3,9,
78,9,5,4,8,
79,9,5,4,9,
