,Fold,k,sigma,Error
0,0,4,,0.5777777777777777
1,0,5,,0.6333333333333333
2,0,6,,0.3666666666666667
3,0,7,,0.1833333333333333
4,0,8,,0.5777777777777777
5,1,4,,0.5777777777777777
6,1,5,,0.3666666666666667
7,1,6,,0.4875
8,1,7,,0.5777777777777777
9,1,8,,0.5777777777777777
10,2,4,,0.4875
11,2,5,,0.3666666666666667
12,2,6,,0.1833333333333333
13,2,7,,0.8444444444444444
14,2,8,,0.6333333333333333
15,3,4,,0.5777777777777777
16,3,5,,0.3111111111111111
17,3,6,,0.7333333333333334
18,3,7,,0.3666666666666667
19,3,8,,0.1555555555555555
20,4,4,,0.3666666666666667
21,4,5,,0.3111111111111111
22,4,6,,0.4083333333333334
23,4,7,,0.5777777777777777
24,4,8,,0.5777777777777777
25,5,4,,0.4875
26,5,5,,0.5916666666666667
27,5,6,,0.5777777777777777
28,5,7,,0.5777777777777777
29,5,8,,0.3111111111111111
30,6,4,,0.55
31,6,5,,0.48750000000000004
32,6,6,,0.8375
33,6,7,,0.40833333333333344
34,6,8,,0.15555555555555556
35,7,4,,0.48750000000000004
36,7,5,,0.5916666666666667
37,7,6,,0.8444444444444444
38,7,7,,0.5916666666666667
39,7,8,,0.40833333333333344
40,8,4,,0.5777777777777777
41,8,5,,0.8444444444444444
42,8,6,,0.5916666666666667
43,8,7,,0.18333333333333335
44,8,8,,0.48750000000000004
45,9,4,,0.48750000000000004
46,9,5,,0.5777777777777777
47,9,6,,0.3111111111111111
48,9,7,,0.8375
49,9,8,,0.8
