,Fold,k,sigma,epsilon,Error
0,0,4,,,0.0
1,0,5,,,0.0
2,0,6,,,0.0
3,0,7,,,0.0
4,0,8,,,0.0
5,1,4,,,0.0
6,1,5,,,0.0
7,1,6,,,0.0
8,1,7,,,0.0
9,1,8,,,0.0
10,2,4,,,0.0
11,2,5,,,0.0
12,2,6,,,0.0
13,2,7,,,0.0
14,2,8,,,0.0
15,3,4,,,0.0
16,3,5,,,0.0
17,3,6,,,0.0
18,3,7,,,0.0
19,3,8,,,0.0
20,4,4,,,0.0
21,4,5,,,0.0
22,4,6,,,0.0
23,4,7,,,0.0
24,4,8,,,0.0
25,5,4,,,0.0
26,5,5,,,0.0
27,5,6,,,0.0
28,5,7,,,0.0
29,5,8,,,0.0
30,6,4,,,
31,6,5,,,
32,6,6,,,
33,6,7,,,
34,6,8,,,
35,7,4,,,
36,7,5,,,
37,7,6,,,
38,7,7,,,
39,7,8,,,
40,8,4,,,
41,8,5,,,
42,8,6,,,
43,8,7,,,
44,8,8,,,
45,9,4,,,
46,9,5,,,
47,9,6,,,
48,9,7,,,
49,9,8,,,
